tax_code;family_code;variant_key;volume_liter;waste_code;interval;variant;usage_type;source;source_text
HF190;;190|FRITID;190;;;;FRITID;RULE:Taxa_från_edp:89;190 L KÄRL FRITIDSHUS Okänd Behållarvolym ÅRPR HF190 | 190 L KÄRL FRITIDSHUS | ÅRPR | Grundavgift | 
EVEKÄ190RE;;190|RE;190;RE;;;;RULE:Taxa_från_edp:45;Evenemangskärl 190 L, restavfall Okänd Restavfall Behållarvolym KVAN EVEKÄ190RE | Evenemangskärl 190 L, restavfall | KVAN | Evenemangskärl 190 L, restavfall | ANTL
MB1300OS104;;2;;;2;;;STANDARD:Standard Avfall:241;Markbehållare 1,3 m³, osorterat avfall. 2ggr/ vecka ÅRKV ANTB
MB1600OS104;;2;;;2;;;STANDARD:Standard Avfall:253;Markbehållare 1,6 m³, osorterat avfall. 2ggr/ vecka ÅRKV ANTB
MB2200OS104;;2;;;2;;;STANDARD:Standard Avfall:259;Markbehållare 2,2 m³, osorterat avfall. 2ggr/ vecka ÅRKV ANTB
MB3200OS104;;2;;;2;;;STANDARD:Standard Avfall:265;Markbehållare 3,2 m³, osorterat avfall. 2ggr/ vecka ÅRKV ANTB
MB5000OS104;;2;;;2;;;STANDARD:Standard Avfall:271;Markbehållare 5 m³, osorterat avfall. 2ggr/ vecka ÅRKV ANTB
FKOMPKASSE22;;22;22;;;;;STANDARD:Standard Avfall:279;Försäljning kompostkassar, 22 L KVAN ANTL
FKOMPSTÄLL22;;22;22;;;;;STANDARD:Standard Avfall:281;Försäljning ställning för 22 L kompostkasse KVAN ANTL
HKÄ240;;240;240;;;;;STANDARD:Standard Avfall:453;Hyra kärl, 240 liter ÅRKV ANTB
TEST240OFFG13;;240|GF|LÅS;240;GF;;LÅS;;RULE:Taxa_från_edp:218;240 2-DELAT KÄRL/4:E VECKA FÄRGAT O OFÄRGAT GLAS TEST Okänd ÅRKV TEST240OFFG13 | 240 2-DELAT KÄRL/4:E VECKA FÄRGAT O OFÄRGAT GLAS TEST | ÅRKV | 240 l kärl/4 vecka test glas färgat ofärgata | ANTB
TEST240OFFG13;;240|GF|LÅS;240;GF;;LÅS;;RULE:Taxa_från_edp:219;240 2-DELAT KÄRL/4:E VECKA FÄRGAT O OFÄRGAT GLAS TEST Okänd KVAN TEST240OFFG13 | 240 2-DELAT KÄRL/4:E VECKA FÄRGAT O OFÄRGAT GLAS TEST | KVAN | 240 l viktavgift färgat ofärgat test | VIKG
VIKTMAT;;240|MA|VIKTMAT;240;MA;;VIKTMAT;;RULE:Taxa_från_edp:266;Tvåfackskärl 240 liter viktavgift Okänd Behållarvolym KVAN VIKTMAT | Tvåfackskärl 240 liter viktavgift | KVAN | Viktavgift matavfall | VIKG,MAX60
VIKTMAT;;240|MA|VIKTMAT;240;MA;;VIKTMAT;;RULE:Taxa_från_edp:267;Tvåfackskärl 240 liter viktavgift Okänd Behållarvolym KVAN VIKTMAT | Tvåfackskärl 240 liter viktavgift | KVAN | Vikt över 60 kg, matavfall | VIKG-60,MIN0
TEST240METE13;;240|ME;240;ME;;;;RULE:Taxa_från_edp:216;240L 2- delat kärl/4:e vecka metall, textil TEST Okänd Metall Behållarvolym ÅRKV TEST240METE13 | 240L 2- delat kärl/4:e vecka metall, textil TEST | ÅRKV | 240 L kärl/4:e vecka metall textil TEST | ANTB
TEST240METE13;;240|ME;240;ME;;;;RULE:Taxa_från_edp:217;240L 2- delat kärl/4:e vecka metall, textil TEST Okänd Metall Behållarvolym KVAN TEST240METE13 | 240L 2- delat kärl/4:e vecka metall, textil TEST | KVAN | 240 L kärl viktavgift metall textil TEST | VIKG
FPASÄCK240;;240|PA;240;PA;;;;STANDARD:Standard Avfall:291;Försäljning pappersäck, 240 L KVAN ANTL
FPLSÄCK240;;240|PL|LÅS;240;PL;;LÅS;;STANDARD:Standard Avfall:293;Försäljning plastsäck, 240 L KVAN ANTL
FPASÄCK350;;350|PA;350;PA;;;;STANDARD:Standard Avfall:292;Försäljning pappersäck, 350 L KVAN ANTL
FPLSÄCK350;;350|PL|LÅS;350;PL;;LÅS;;STANDARD:Standard Avfall:294;Försäljning plastsäck, 350 L KVAN ANTL
H370;;370;370;;;;;RULE:Taxa_från_edp:80;370 L KÄRL 14-DAG. HÄMTN. Okänd Behållarvolym ÅRKV H370 | 370 L KÄRL 14-DAG. HÄMTN. | ÅRKV | 14-dagars hämtning 370 l kärl | ANTB
H370;;370;370;;;;;RULE:Taxa_från_edp:81;370 L KÄRL 14-DAG. HÄMTN. Okänd Behållarvolym ÅRPR H370 | 370 L KÄRL 14-DAG. HÄMTN. | ÅRPR | Grundavgift | 
HKÄ370;;370;370;;;;;STANDARD:Standard Avfall:454;Hyra kärl, 370 liter ÅRKV ANTB
HU370;;370;370;;;;;RULE:Taxa_från_edp:95;370 L KÄRL UTAN GRUNDAVGIFT Okänd Behållarvolym ÅRKV HU370 | 370 L KÄRL UTAN GRUNDAVGIFT | ÅRKV | Sophämtning 370 l kärl | ANTB
HF370;;370|FRITID;370;;;;FRITID;RULE:Taxa_från_edp:91;370 L KÄRL FRITIDSHUS Okänd Behållarvolym ÅRKV HF370 | 370 L KÄRL FRITIDSHUS | ÅRKV | 14-dagars hämtning 370 l kärl | ANTB
HF370;;370|FRITID;370;;;;FRITID;RULE:Taxa_från_edp:92;370 L KÄRL FRITIDSHUS Okänd Behållarvolym ÅRPR HF370 | 370 L KÄRL FRITIDSHUS | ÅRPR | Grundavgift | 
HUF370;;370|FRITID;370;;;;FRITID;RULE:Taxa_från_edp:98;370 L KÄRL FRITIDSHUS UTAN GRUNDAVG. Okänd Behållarvolym ÅRKV HUF370 | 370 L KÄRL FRITIDSHUS UTAN GRUNDAVG. | ÅRKV | Sophämtning 370 l kärl | ANTB
TEST 370VV;;370|PL|LÅS;370;PL;;LÅS;;RULE:Taxa_från_edp:214;370 L KÄRL/14 DGR 2-DELAT PAPPER OCH PLAST Okänd Plast Behållarvolym ÅRKV TEST 370VV | 370 L KÄRL/14 DGR 2-DELAT PAPPER OCH PLAST | ÅRKV | Kärl 370 L kärl test papper plast | ANTB
TEST 370VV;;370|PL|LÅS;370;PL;;LÅS;;RULE:Taxa_från_edp:215;370 L KÄRL/14 DGR 2-DELAT PAPPER OCH PLAST Okänd Plast Behållarvolym KVAN TEST 370VV | 370 L KÄRL/14 DGR 2-DELAT PAPPER OCH PLAST | KVAN | Kärl 370 L kärl test viktavgift papper plast | VIKG
LATRINBEHÅLL;;37|LATRINBEHÅLL|VERKSAMHET;37;;;LATRINBEHÅLL;VERKSAMHET;RULE:Taxepunkter:197;Latrinbehållare 37 liter inkl. mottagning och behandling Flerbostad/verksamhet Styck KVAN 37 §3.4.1 | §3.4.1 | Latrinbehållare 37 liter inkl. mottagning och behandling |  | st | LATRINBEHÅLL | LATRINBEHÅLL | KVAN |  |  |  | 
KK400OS26;;400;400;;;;;STANDARD:Standard Avfall:172;Kärl komp. 400 L, osort. avfall. Var 14:e dag ÅRKV ANTB
KK400OS52;;400;400;;;;;STANDARD:Standard Avfall:171;Kärl komp. 400 L, osort. avfall. Varje vecka ÅRKV ANTB
KK400OS104;;400|2;400;;2;;;STANDARD:Standard Avfall:170;Kärl komp. 400 L, osort. avfall. 2ggr/ vecka ÅRKV ANTB
FKOMPPSÄCK45;;45;45;;;;;STANDARD:Standard Avfall:280;Försäljning kompostsäckar, 45 L KVAN ANTL
FKOMPSTÄLL45;;45;45;;;;;STANDARD:Standard Avfall:282;Försäljning ställning för 45 L kompostsäck, enkelställ på hjul KVAN ANTL
FKOMPSTÄLL45D;;45;45;;;;;STANDARD:Standard Avfall:283;Försäljning ställning för 45 L kompostsäck, dubbelställ på hjul KVAN ANTL
H660;;660;660;;;;;RULE:Taxa_från_edp:82;660 L KÄRL 14-DAG. HÄMTN. Okänd Behållarvolym ÅRKV H660 | 660 L KÄRL 14-DAG. HÄMTN. | ÅRKV | 14-dagars hämtning 660 l kärl | ANTB
HKÄ660;;660;660;;;;;STANDARD:Standard Avfall:455;Hyra kärl, 660 liter ÅRKV ANTB
HU660;;660;660;;;;;RULE:Taxa_från_edp:96;660 L KÄRL UTAN GRUNDAVGIFT Okänd Behållarvolym ÅRKV HU660 | 660 L KÄRL UTAN GRUNDAVGIFT | ÅRKV | Sophämtning 660 l kärl | ANTB
EVEKÄ660RE;;660|RE;660;RE;;;;RULE:Taxa_från_edp:46;Evenemangskärl 660 L, restavfall Okänd Restavfall Behållarvolym KVAN EVEKÄ660RE | Evenemangskärl 660 L, restavfall | KVAN | Evenemangskärl 660 L, restavfall | ANTL
A;;A;;;;A;;RULE:Taxa_från_edp:2;AVLOPP BOSTADSHUS Okänd ÅRPR A | AVLOPP BOSTADSHUS | ÅRPR | Avlopp bostadshus | 
AFC;;AFC|FRITID;;;;AFC;FRITID;RULE:Taxa_från_edp:4;AVLOPP FRITIDSHUS CAMPING Okänd ÅRKV AFC | AVLOPP FRITIDSHUS CAMPING | ÅRKV | Avlopp fritidshus | KETT
AF;;AF|FRITID;;;;AF;FRITID;RULE:Taxa_från_edp:3;AVLOPP FRITIDSHUS Okänd ÅRPR AF | AVLOPP FRITIDSHUS | ÅRPR | Avlopp fritidshus | 
AKUT;;AKUT;;;;AKUT;;RULE:Taxa_från_edp:5;EXTRAAVGIFT AKUT SLAMTÖMNING Slam Slam KVAN AKUT | EXTRAAVGIFT AKUT SLAMTÖMNING | KVAN | Extraavg akut slamtömning | ANTL
AKUTSÄCK;;AKUTSÄCK;;;;AKUTSÄCK;;RULE:Taxepunkter:151;Akutsäck Hushåll KVAN §2.4.10 | §2.4.10 | Akutsäck |  | st/säck | AKUTSÄCK | AKUTSÄCK | KVAN |  |  |  | 
AKUTSÄCK;;AKUTSÄCK;;;;AKUTSÄCK;;RULE:Taxa_från_edp:6;Avgift för akutsäck Okänd KVAN AKUTSÄCK | Avgift för akutsäck | KVAN | Avgift för akutsäck | ANTL
AKUT;;AKUT|VERKSAMHET;;;;AKUT;VERKSAMHET;RULE:Taxepunkter:188;Budning utanför ordinarie tömningsperiod (1 nov – 30 april) Flerbostad/verksamhet Tillfälle KVAN §3.3.1 | §3.3.1 | Budning utanför ordinarie tömningsperiod (1 nov – 30 april) | Inom 24 timmar | kr/tillfälle | AKUT | AKUT | KVAN |  |  |  | 
AMOAVISER;;AMOAVISER;;;;AMOAVISER;;RULE:Taxa_från_edp:7;Amorteringsplanavisering Okänd KVAN AMOAVISER | Amorteringsplanavisering | KVAN | Amorteringsplanavisering | 
AMOPLAN;;AMOPLAN;;;;AMOPLAN;;RULE:Taxa_från_edp:8;Amorteringsplan Okänd KVAN AMOPLAN | Amorteringsplan | KVAN | Amorteringsplan | ANTL
AMORÄNTA;;AMORÄNTA;;;;AMORÄNTA;;RULE:Taxa_från_edp:9;Amorteringsplanränta Okänd KVAN AMORÄNTA | Amorteringsplanränta | KVAN | Amorteringsplanränta | 
AMOUPP;;AMOUPP;;;;AMOUPP;;RULE:Taxa_från_edp:10;Amorteringsplansuppläggning Okänd KVAN AMOUPP | Amorteringsplansuppläggning | KVAN | Amorteringsplansuppläggning | 
ANLSLBASTÖM;;ANLSLBASTÖM;;;;ANLSLBASTÖM;;RULE:Taxa_från_edp:13;Tömning slam från Reningsverksbassäng Slam Slam KVAN ANLSLBASTÖM | Tömning slam från Reningsverksbassäng | KVAN | Tömning slam från Reningsverksbassäng | ANTL
AOBF;;AOBF;;;;AOBF;;RULE:Taxa_från_edp:15;A, OBEBYGGD FAST. INOM DETALJPLAN Okänd ÅRPR AOBF | A, OBEBYGGD FAST. INOM DETALJPLAN | ÅRPR | Avlopp obebygg inom detaljp | 
ANL03SL;;BASE;;;;;;RULE:Taxa_från_edp:11;Tömning slamanläggning Okänd KVAN ANL03SL | Tömning slamanläggning | KVAN | Tömning av slamanläggning | ANTL
ANL36SL;;BASE;;;;;;RULE:Taxa_från_edp:12;Tömning slamanläggning 3,1-6 m³ Okänd KVAN ANL36SL | Tömning slamanläggning 3,1-6 m³ | KVAN | Tömning av slamanlägg. 3,1-6 | ANTL
ANLÖ6SL;;BASE;;;;;;RULE:Taxa_från_edp:14;Tömning slamanläggning över 6 m³ Okänd KVAN ANLÖ6SL | Tömning slamanläggning över 6 m³ | KVAN | Tömning av slamanlägg över 6 m³ | ANTL
AVS03FE;;BASE;;;;;;STANDARD:Standard Slam:114;Avskiljare 0-3 m³, fett KVAN ANTL
AVS03FEB;;BASE;;;;;;STANDARD:Standard Slam:110;Avskiljare 0-3 m³, fett. Budning KVAN ANTL
AVS03FEBUD;;BASE;;;;;;STANDARD:Standard Slam:102;Avskiljare 0-3 m³, fett. Budning ÅRKV 0
AVS03FEO;;BASE;;;;;;STANDARD:Standard Slam:107;Avskiljare 0-3 m³, fett. Ordinarie tur KVAN ANTL
AVS03FEORD;;BASE;;;;;;STANDARD:Standard Slam:99;Avskiljare 0-3 m³, fett. Ordinarie tur ÅRKV 0
AVS03SL;;BASE;;;;;;STANDARD:Standard Slam:76;Avskiljare 0-3 m³, slam KVAN ANTL
AVS03SLB;;BASE;;;;;;STANDARD:Standard Slam:59;Avskiljare 0-3 m³, slam. Budning KVAN ANTL
AVS03SLBUD;;BASE;;;;;;STANDARD:Standard Slam:26;Avskiljare 0-3 m³, slam. Budning ÅRKV 0
AVS03SLO;;BASE;;;;;;STANDARD:Standard Slam:43;Avskiljare 0-3 m³, slam. Ordinarie tur KVAN ANTL
AVS03SLORD;;BASE;;;;;;STANDARD:Standard Slam:10;Avskiljare 0-3 m³, slam. Ordinarie tur ÅRKV 0
AVS36FE;;BASE;;;;;;STANDARD:Standard Slam:115;Avskiljare 3-6 m³, fett KVAN ANTL
AVS36FEB;;BASE;;;;;;STANDARD:Standard Slam:111;Avskiljare 3-6 m³, fett. Budning KVAN ANTL
AVS36FEBUD;;BASE;;;;;;STANDARD:Standard Slam:103;Avskiljare 3-6 m³, fett. Budning ÅRKV 1
AVS36FEO;;BASE;;;;;;STANDARD:Standard Slam:108;Avskiljare 3-6 m³, fett. Ordinarie tur KVAN ANTL
AVS36FEORD;;BASE;;;;;;STANDARD:Standard Slam:100;Avskiljare 3-6 m³, fett. Ordinarie tur ÅRKV 0
AVS36SL;;BASE;;;;;;STANDARD:Standard Slam:77;Avskiljare 3,1-6 m³, slam KVAN ANTL
AVS36SLB;;BASE;;;;;;STANDARD:Standard Slam:60;Avskiljare 3,1-6 m³, slam. Budning KVAN ANTL
AVS36SLBUD;;BASE;;;;;;STANDARD:Standard Slam:27;Avskiljare 3,1-6 m³, slam. Budning ÅRKV 0
AVS36SLO;;BASE;;;;;;STANDARD:Standard Slam:44;Avskiljare 3,1-6 m³, slam. Ordinarie tur KVAN ANTL
AVS36SLORD;;BASE;;;;;;STANDARD:Standard Slam:11;Avskiljare 3,1-6 m³, slam. Ordinarie tur ÅRKV 0
AVSLUTA_TJÄNST;;BASE;;;;;;RULE:Taxa_från_edp:16;Dummy för avslut av tjänst via order Okänd KVAN AVSLUTA_TJÄNST | Dummy för avslut av tjänst via order | KVAN | Avslut av tjänst | 0
AVSÖ6FE;;BASE;;;;;;STANDARD:Standard Slam:116;Avskiljare över 6 m³, fett KVAN ANTL
AVSÖ6FEB;;BASE;;;;;;STANDARD:Standard Slam:112;Avskiljare över 6 m³, fett. Budning KVAN ANTL
AVSÖ6FEBUD;;BASE;;;;;;STANDARD:Standard Slam:104;Avskiljare över 6 m³, fett. Budning ÅRKV 2
AVSÖ6FEO;;BASE;;;;;;STANDARD:Standard Slam:109;Avskiljare över 6 m³, fett. Ordinarie tur KVAN ANTL
AVSÖ6FEORD;;BASE;;;;;;STANDARD:Standard Slam:101;Avskiljare över 6 m³, fett. Ordinarie tur ÅRKV 0
AVSÖ6SL;;BASE;;;;;;STANDARD:Standard Slam:78;Avskiljare över 6 m³, slam KVAN ANTL
AVSÖ6SLB;;BASE;;;;;;STANDARD:Standard Slam:61;Avskiljare över 6 m³, slam. Budning KVAN ANTL
AVSÖ6SLBUD;;BASE;;;;;;STANDARD:Standard Slam:28;Avskiljare över 6 m³, slam. Budning ÅRKV 0
AVSÖ6SLO;;BASE;;;;;;STANDARD:Standard Slam:45;Avskiljare över 6 m³, slam. Ordinarie tur KVAN ANTL
AVSÖ6SLORD;;BASE;;;;;;STANDARD:Standard Slam:12;Avskiljare över 6 m³, slam. Ordinarie tur ÅRKV 0
B100;;BASE;;;;;;STANDARD:Standard Avfall:447;Behandling brännbart avfall, pris per kilo KVAN VIKG
BDT03SL;;BASE;;;;;;STANDARD:Standard Slam:85;BDT, 0-3 m³ slam KVAN ANTL
BDT03SLB;;BASE;;;;;;STANDARD:Standard Slam:68;BDT, 0-3 m³ slam. Budning KVAN ANTL
BDT03SLBUD;;BASE;;;;;;STANDARD:Standard Slam:35;BDT, 0-3 m³ slam. Budning ÅRKV 5
BDT03SLBUD;;BASE;;;;;;RULE:Taxa_från_edp:18;BDT 0-3 m³, slam. Budning Slam Slam ÅRKV BDT03SLBUD | BDT 0-3 m³, slam. Budning | ÅRKV | BDT 0-3 m³, slam. Budning | ANTB
BDT03SLO;;BASE;;;;;;STANDARD:Standard Slam:52;BDT, 0-3 m³ slam. Ordinarie tur KVAN ANTL
BDT03SLORD;;BASE;;;;;;STANDARD:Standard Slam:19;BDT, 0-3 m³ slam. Ordinarie tur ÅRKV 0
BDT03SLORD;;BASE;;;;;;RULE:Taxa_från_edp:19;BDT 0-3 m³, slam. Ordinarie tur Slam Slam ÅRKV BDT03SLORD | BDT 0-3 m³, slam. Ordinarie tur | ÅRKV | BDT 0-3 m³, slam. Ord. tur | ANTB
BDT36SL;;BASE;;;;;;STANDARD:Standard Slam:86;BDT, 3,1-6 m³ slam KVAN ANTL
BDT36SLB;;BASE;;;;;;STANDARD:Standard Slam:69;BDT, 3,1-6 m³ slam. Budning KVAN ANTL
BDT36SLBUD;;BASE;;;;;;STANDARD:Standard Slam:36;BDT, 3,1-6 m³ slam. Budning ÅRKV 6
BDT36SLBUD;;BASE;;;;;;RULE:Taxa_från_edp:20;BDT 3,1-6 m³, slam. Budning Slam Slam ÅRKV BDT36SLBUD | BDT 3,1-6 m³, slam. Budning | ÅRKV | BDT 3,1-6 m³, slam. Budning | ANTB
BDT36SLO;;BASE;;;;;;STANDARD:Standard Slam:53;BDT, 3,1-6 m³ slam. Ordinarie tur KVAN ANTL
BDT36SLORD;;BASE;;;;;;STANDARD:Standard Slam:20;BDT, 3,1-6 m³ slam. Ordinarie tur ÅRKV 0
BDT36SLORD;;BASE;;;;;;RULE:Taxa_från_edp:21;BDT 3,1-6 m³, slam. Ord. tur Slam Slam ÅRKV BDT36SLORD | BDT 3,1-6 m³, slam. Ord. tur | ÅRKV | BDT 3,1-6 m³, slam. Ord. tur | ANTB
BDTÖ6SLBUD;;BASE;;;;;;RULE:Taxa_från_edp:22;BDT över 6 m³, slam. Budning Slam Slam ÅRKV BDTÖ6SLBUD | BDT över 6 m³, slam. Budning | ÅRKV | BDT över 6 m³, slam. Budning | ANTB
BDTÖ6SLORD;;BASE;;;;;;RULE:Taxa_från_edp:23;BDT över 6 m³, slam. Ord. tur Slam Slam ÅRKV BDTÖ6SLORD | BDT över 6 m³, slam. Ord. tur | ÅRKV | BDT över 6 m³, slam. Ord. tur | ANTB
BINI500;;BASE;;;;;;RULE:Taxa_från_edp:30;Bini 610/500 Okänd KVAN BINI500 | Bini 610/500 | KVAN | Bini 610/500 | TIMT
BRN03SL;;BASE;;;;;;STANDARD:Standard Slam:73;Brunn 0-3 m³, slam KVAN ANTL
BRN03SLB;;BASE;;;;;;STANDARD:Standard Slam:56;Brunn 0-3 m³, slam. Budning KVAN ANTL
BRN03SLBUD;;BASE;;;;;;STANDARD:Standard Slam:23;Brunn 0-3 m³, slam. Budning ÅRKV 0
BRN03SLBUD;;BASE;;;;;;RULE:Taxa_från_edp:31;Brunn 0-3 m³, slam. Budning Slam Slam ÅRKV BRN03SLBUD | Brunn 0-3 m³, slam. Budning | ÅRKV | Brunn 0-3 m³, slam. Budning | ANTB
BRN03SLO;;BASE;;;;;;STANDARD:Standard Slam:40;Brunn 0-3 m³, Slam. Ordinarie tur KVAN ANTL
BRN03SLORD;;BASE;;;;;;STANDARD:Standard Slam:7;Brunn 0-3 m³, Slam. Ordinarie tur ÅRKV 0
BRN03SLORD;;BASE;;;;;;RULE:Taxa_från_edp:32;Brunn 0-3 m³, slam. Ord. tur Slam Slam ÅRKV BRN03SLORD | Brunn 0-3 m³, slam. Ord. tur | ÅRKV | Brunn 0-3 m³, slam. Ord. tur | ANTB
BRN36SL;;BASE;;;;;;STANDARD:Standard Slam:74;Brunn 3,1-6 m³, slam KVAN ANTL
BRN36SLB;;BASE;;;;;;STANDARD:Standard Slam:57;Brunn 3,1-6 m³, slam. Budning KVAN ANTL
BRN36SLBUD;;BASE;;;;;;STANDARD:Standard Slam:24;Brunn 3,1-6 m³, slam. Budning ÅRKV 0
BRN36SLBUD;;BASE;;;;;;RULE:Taxa_från_edp:33;Brunn 3,1-6 m³, slam. Budning Slam Slam ÅRKV BRN36SLBUD | Brunn 3,1-6 m³, slam. Budning | ÅRKV | Brunn 3,1-6 m³, slam. Budning | ANTB
BRN36SLO;;BASE;;;;;;STANDARD:Standard Slam:41;Brunn 3,1-6 m³, slam. Ordinarie tur KVAN ANTL
BRN36SLORD;;BASE;;;;;;STANDARD:Standard Slam:8;Brunn 3,1-6 m³, slam. Ordinarie tur ÅRKV 0
BRN36SLORD;;BASE;;;;;;RULE:Taxa_från_edp:34;Brunn 3,1-6 m³, slam. Ord. tur Slam Slam ÅRKV BRN36SLORD | Brunn 3,1-6 m³, slam. Ord. tur | ÅRKV | Brunn över 6 m³, slam. Ord. tur | ANTB
BRNÖ6SL;;BASE;;;;;;STANDARD:Standard Slam:75;Brunn över 6 m³, slam KVAN ANTL
BRNÖ6SLB;;BASE;;;;;;STANDARD:Standard Slam:58;Brunn över 6 m³, slam. Budning KVAN ANTL
BRNÖ6SLBUD;;BASE;;;;;;STANDARD:Standard Slam:25;Brunn över 6 m³, slam. Budning ÅRKV 0
BRNÖ6SLBUD;;BASE;;;;;;RULE:Taxa_från_edp:35;Brunn över 6 m³, slam. Budning Slam Slam ÅRKV BRNÖ6SLBUD | Brunn över 6 m³, slam. Budning | ÅRKV | Brunn över 6 m³, slam. Budning | ANTB
BRNÖ6SLO;;BASE;;;;;;STANDARD:Standard Slam:42;Brunn över 6 m³, slam. Ordinarie tur KVAN ANTL
BRNÖ6SLORD;;BASE;;;;;;STANDARD:Standard Slam:9;Brunn över 6 m³, slam. Ordinarie tur ÅRKV 0
BRNÖ6SLORD;;BASE;;;;;;RULE:Taxa_från_edp:36;Brunn över 6 m³, slam. Ord. tur Slam Slam ÅRKV BRNÖ6SLORD | Brunn över 6 m³, slam. Ord. tur | ÅRKV | Brunn över 6 m³, slam. Ord. tur | ANTB
CO08BR52;;BASE;;;;;;STANDARD:Standard Avfall:416;Container 8 m³, brännbart avfall. Varje vecka ÅRKV ANTB
CO08BR52;;BASE;;;;;;STANDARD:Standard Avfall:421;Container 8 m³, brännbart avfall. Varje vecka ÅRKV ANTB
FKOMPPÅSE9;;BASE;;;;;;STANDARD:Standard Avfall:278;Försäljning kompostpåsar, 9 L KVAN ANTL
FSÄMB52;;BASE;;;;;;STANDARD:Standard Avfall:296;Försäljning säck, markbehållare. Varje vecka KVAN ANTL
GRUNDFÖR1;;BASE;;;;;;RULE:Taxa_från_edp:69;Grundavgift nivå 1, små/medel Okänd ÅRPR GRUNDFÖR1 | Grundavgift nivå 1, små/medel | ÅRPR | Grundavgift nivå 1 | 
GRUNDFÖR2;;BASE;;;;;;RULE:Taxa_från_edp:70;Grundavgift nivå 2, större företag Okänd ÅRPR GRUNDFÖR2 | Grundavgift nivå 2, större företag | ÅRPR | Grundavgift nivå 2 | 
