Tax Knowledge Report

Status: Strukturerad kunskap från Word/parsern. Ingen EDP ändras.
Total: 229

Kategorier:
- Flerbostad/verksamhet: 20
- Hushåll: 75
- Slam: 16
- Tilläggstjänst: 5
- Verksamhetsavfall: 14
- ÅVC/verksamhetsavfall: 99

Faktorhint:
- (tom): 69
- ST: 7
- TILLFÄLLE: 3
- VIKG: 96
- VOLM: 17
- VOLYM/BEHÅLLARE: 37

Details:
- 3.1 | Mellan 3 m3 och 6 m3 | category=Flerbostad/verksamhet waste= unit=Volym factor=VOLM confidence=0.75
- 3.1 | Mellan 6 m3 och 9 m3 | category=Flerbostad/verksamhet waste= unit=Volym factor=VOLM confidence=0.75
- 3.1 | Tillägg per m3 över 9 m3 | category=Flerbostad/verksamhet waste= unit=Volym factor=VOLM confidence=0.75
- 3.1 | Bad-, disk- och tvättbrunn upp till 3 m3 | category=Flerbostad/verksamhet waste= unit=Volym factor=VOLM confidence=0.75
- 3.1 | Tillägg per m3 över 3 m3 | category=Flerbostad/verksamhet waste= unit=Volym factor=VOLM confidence=0.75
- 3.2 | Dragning av extra slang vid 5-25 m | category=Flerbostad/verksamhet waste= unit= factor= confidence=0.50
- 3.2 | Dragning av extra slang vid 25-35 m | category=Flerbostad/verksamhet waste= unit= factor= confidence=0.50
- 3.2 | Dragning av extra slang vid 36-45 m | category=Flerbostad/verksamhet waste= unit= factor= confidence=0.50
- 3.2 | Dragning av extra slang vid 46-55 m | category=Flerbostad/verksamhet waste= unit= factor= confidence=0.50
- 3.2 | Hantering av brunnslock som väger 15-25 kg | category=Flerbostad/verksamhet waste= unit=Vikt factor=VIKG confidence=0.75
- 3.2 | Krav på information om tömningstid | category=Flerbostad/verksamhet waste= unit= factor= confidence=0.50
- 3.2 | Krav på närvaro vid specificerad tömningstid | category=Flerbostad/verksamhet waste= unit= factor= confidence=0.50
- 3.2 | Hantering av kod för kodlås vid slamtömning | category=Flerbostad/verksamhet waste=Slam unit= factor= confidence=0.75
- 3.2 | Hetvattentvätt med spolbil, timersättning | category=Flerbostad/verksamhet waste= unit= factor= confidence=0.50
- 3.2 | Tömning av extra tank/brunn i samband med ordinarie/budad tömning upp till 5 m3 | category=Flerbostad/verksamhet waste= unit=Volym factor=VOLM confidence=0.75
- 3.3 | Budning inom ordinarie tömningsperiod (1 maj- 31 oktober) | category=Flerbostad/verksamhet waste= unit= factor= confidence=0.50
- 3.3 | Budning utanför ordinarie tömningsperiod (1 nov – 30 april) | category=Flerbostad/verksamhet waste= unit= factor= confidence=0.50
- 3.3 | Tömning av toalettvagnar eller liknande /styck | category=Flerbostad/verksamhet waste= unit=Styck factor=ST confidence=0.75
- 3.4 | Latrinbehållare 37 liter inkl. mottagning och behandling | category=Flerbostad/verksamhet waste= unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=0.75
- 4.1 | Filtermassor upp till 500 kg | category=Tilläggstjänst waste= unit=Vikt factor=VIKG confidence=0.75
- 4.1 | Filtermassor 500-1000 kg | category=Tilläggstjänst waste= unit=Vikt factor=VIKG confidence=0.75
- 4.2 | Krav på information om hämtningstid | category=Tilläggstjänst waste= unit= factor= confidence=0.50
- 4.2 | Krav på närvaro vid specificerad hämtningstid | category=Tilläggstjänst waste= unit= factor= confidence=0.50
- 4.2 | Hantering av kod för kodlås | category=Tilläggstjänst waste= unit= factor= confidence=0.50
- 5.1 | Upp till 3 m3 | category=Slam waste= unit=Volym factor=VOLM confidence=0.75
- 5.1 | Mellan 3 m3 och 6 m3 | category=Slam waste= unit=Volym factor=VOLM confidence=0.75
- 5.1 | Över 6 m3 | category=Slam waste= unit=Volym factor=VOLM confidence=0.75
- 5.2 | Dragning av extra slang vid 5-25 m | category=Slam waste= unit= factor= confidence=0.50
- 5.2 | Dragning av extra slang vid 25-35 m | category=Slam waste= unit= factor= confidence=0.50
- 5.2 | Dragning av extra slang vid 36-45 m | category=Slam waste= unit= factor= confidence=0.50
- 5.2 | Dragning av extra slang vid 46-55 m | category=Slam waste= unit= factor= confidence=0.50
- 5.2 | Hantering av brunnslock som väger 15-25 kg | category=Slam waste= unit=Vikt factor=VIKG confidence=0.75
- 5.2 | Krav på information om tömningstid | category=Slam waste= unit= factor= confidence=0.50
- 5.2 | Krav på närvaro vid specificerad tömningstid | category=Slam waste= unit= factor= confidence=0.50
- 5.2 | Hantering av kod för kodlås vid tömning | category=Slam waste= unit= factor= confidence=0.50
- 5.2 | Hetvattentvätt med spolbil, timersättning | category=Slam waste= unit= factor= confidence=0.50
- 5.2 | Silikontätning per lock | category=Slam waste= unit= factor= confidence=0.50
- 5.2 | Tömning av extra tank i samband med ordinarie/budad tömning upp till 5 m3 | category=Slam waste= unit=Volym factor=VOLM confidence=0.75
- 5.3 | Budning inom ordinarie tömningsperiod (1 maj- 31 oktober) | category=Slam waste= unit= factor= confidence=0.50
- 5.3 | Budning utanför ordinarie tömningsperiod | category=Slam waste= unit= factor= confidence=0.50
- 6.1.1 | Verksamheter | category=Verksamhetsavfall waste= unit= factor= confidence=0.50
- 6.1.1 | Övriga abonnemangstyper | category=Verksamhetsavfall waste= unit= factor= confidence=0.50
- 6.1.1 | Vågkort | category=Verksamhetsavfall waste= unit= factor= confidence=0.50
- 6.1.1 | Borttappat vågkort | category=Verksamhetsavfall waste= unit= factor= confidence=0.50
- 6.1.1 | Ej redovisad ankomst till ÅVC (för företagare och privatpersoner som lämnar verksamhetsavfall utan att anmäla sin ankomst) | category=Verksamhetsavfall waste= unit= factor= confidence=0.50
- 6.1.1 | Ej redovisad eller fel redovisad fraktion av avfall | category=Verksamhetsavfall waste= unit= factor= confidence=0.50
- 6.1.2 | Avfall till energiåtervinning (240 L sopsäck) | category=ÅVC/verksamhetsavfall waste= unit=Styck factor=ST confidence=0.75
- 6.1.2 | Avfall till energiåtervinning | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Skrymmande avfall till energiåtervinning större än 20×20×80 | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
