Status;Source;Rule;Confidence;Paragraf;Taxapunkt;Variant;Enhet;Excel rad;EDP taxakod;Standard taxakod;Kommentar
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;2.4.8;Kärl 660 l restavfall;;kärl;153;;;Taxa finns som rad. EDP-koppling saknas.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;2.4.8;Bottentömmande behållare;;;;;;Skapa/hantera som ny taxa eller manuell granskning.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;2.4.9;Sidlastande fordon;;;157;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;2.4.9;Bottentömmande fordon;;;158;;;Taxa finns som rad. EDP-koppling saknas.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;2.4.9;Tömningsavgift per behållare;;;;;;Skapa/hantera som ny taxa eller manuell granskning.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;2.4.10;Betalsäck;;;162;;;Taxa finns som rad. EDP-koppling saknas.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;2.4.10;Akutsäck;;;;;;Skapa/hantera som ny taxa eller manuell granskning.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;2.4.11;Matavfallspåsar 9 L;;;;;;Skapa/hantera som ny taxa eller manuell granskning.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;2.4.11;Matavfallspåsar 22 L;;;167;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;2.4.11;Gravitationslås till kärl;;kärl;168;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;2.4.11;Extra nyckel till gravitationslås;;;169;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;2.5.1;Kommunalt avfall;;;172;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;2.5.1;Farligt avfall (ej uppmärkt);;;173;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;2.5.1;Farligt avfall (uppmärkt);;;174;;;Taxa finns som rad. EDP-koppling saknas.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;2.5.1;Avisering av ankomst;;;;;;Skapa/hantera som ny taxa eller manuell granskning.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;3.1;Upp till 3 m3;;m³;;;;Skapa/hantera som ny taxa eller manuell granskning.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;3.1;Mellan 3 m3 och 6 m3;;m³;179;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;3.1;Mellan 6 m3 och 9 m3;;m³;180;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;3.1;Tillägg per m3 över 9 m3;;m³;181;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;3.1;Bad-, disk- och tvättbrunn upp till 3 m3;;m³;182;;;Taxa finns som rad. EDP-koppling saknas.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;3.1;Tillägg per m3 över 3 m3;;m³;;;;Skapa/hantera som ny taxa eller manuell granskning.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;3.2;Dragning av extra slang vid 5-25 m;;;;;;Skapa/hantera som ny taxa eller manuell granskning.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;3.2;Dragning av extra slang vid 25-35 m;;;187;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;3.2;Dragning av extra slang vid 36-45 m;;;188;;;Taxa finns som rad. EDP-koppling saknas.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;3.2;Dragning av extra slang vid 46-55 m;;;;;;Skapa/hantera som ny taxa eller manuell granskning.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;3.2;Hantering av brunnslock som väger 15-25 kg;;kilogram;190;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;3.2;Krav på information om tömningstid;;;191;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;3.2;Krav på närvaro vid specificerad tömningstid;;;192;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;3.2;Hantering av kod för kodlås vid slamtömning;;;193;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;3.2;Hetvattentvätt med spolbil, timersättning;;;194;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;3.2;Tömning av extra tank/brunn i samband med ordinarie/budad tömning upp till 5 m3;;m³;196;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;3.3;Budning inom ordinarie tömningsperiod (1 maj- 31 oktober);;;199;;;Taxa finns som rad. EDP-koppling saknas.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;3.3;Budning utanför ordinarie tömningsperiod (1 nov – 30 april);;;;;;Skapa/hantera som ny taxa eller manuell granskning.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;3.3;Tömning av toalettvagnar eller liknande /styck;;styck;;;;Skapa/hantera som ny taxa eller manuell granskning.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;3.4;Latrinbehållare 37 liter inkl. mottagning och behandling;;liter;208;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;4.1;Filtermassor upp till 500 kg;;kilogram;211;;;Taxa finns som rad. EDP-koppling saknas.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;4.1;Filtermassor 500-1000 kg;;kilogram;;;;Skapa/hantera som ny taxa eller manuell granskning.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;4.2;Krav på information om hämtningstid;;;217;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;4.2;Krav på närvaro vid specificerad hämtningstid;;;218;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;4.2;Hantering av kod för kodlås;;;219;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;5.1;Upp till 3 m3;;m³;223;;;Taxa finns som rad. EDP-koppling saknas.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;5.1;Mellan 3 m3 och 6 m3;;m³;;;;Skapa/hantera som ny taxa eller manuell granskning.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;5.1;Över 6 m3;;m³;;;;Skapa/hantera som ny taxa eller manuell granskning.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;5.2;Dragning av extra slang vid 5-25 m;;;231;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;5.2;Dragning av extra slang vid 25-35 m;;;232;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;5.2;Dragning av extra slang vid 36-45 m;;;233;;;Taxa finns som rad. EDP-koppling saknas.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;5.2;Dragning av extra slang vid 46-55 m;;;;;;Skapa/hantera som ny taxa eller manuell granskning.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;5.2;Hantering av brunnslock som väger 15-25 kg;;kilogram;235;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;5.2;Krav på information om tömningstid;;;236;;;Taxa finns som rad. EDP-koppling saknas.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;5.2;Krav på närvaro vid specificerad tömningstid;;;;;;Skapa/hantera som ny taxa eller manuell granskning.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;5.2;Hantering av kod för kodlås vid tömning;;tömning;238;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;5.2;Hetvattentvätt med spolbil, timersättning;;;239;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;5.2;Silikontätning per lock;;;240;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;5.2;Tömning av extra tank i samband med ordinarie/budad tömning upp till 5 m3;;m³;242;;;Taxa finns som rad. EDP-koppling saknas.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;5.3;Budning inom ordinarie tömningsperiod (1 maj- 31 oktober);;;;;;Skapa/hantera som ny taxa eller manuell granskning.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;5.3;Budning utanför ordinarie tömningsperiod;;;;;;Skapa/hantera som ny taxa eller manuell granskning.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;6.1.1;Verksamheter;;;253;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;6.1.1;Övriga abonnemangstyper;;;254;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;6.1.1;Vågkort;;;255;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;6.1.1;Borttappat vågkort;;;256;;;Taxa finns som rad. EDP-koppling saknas.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;6.1.1;Ej redovisad ankomst till ÅVC (för företagare och privatpersoner som lämnar verksamhetsavfall utan att anmäla sin ankomst);;besök;;;;Skapa/hantera som ny taxa eller manuell granskning.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;6.1.1;Ej redovisad eller fel redovisad fraktion av avfall;;fraktion;;;;Skapa/hantera som ny taxa eller manuell granskning.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;6.1.2;Avfall till energiåtervinning (240 L sopsäck);;styck;;;;Skapa/hantera som ny taxa eller manuell granskning.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;6.1.2;Avfall till energiåtervinning;;kilogram;;;;Skapa/hantera som ny taxa eller manuell granskning.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;6.1.2;Skrymmande avfall till energiåtervinning större än 20×20×80;;kilogram;;;;Skapa/hantera som ny taxa eller manuell granskning.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;6.1.2;Träavfall – obehandlat, utan tapet, plastmatta, tjärpapp;;kilogram;262;;;Taxa finns som rad. EDP-koppling saknas.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;6.1.2;Träavfall – behandlat, utan tapet, plastmatta, tjärpapp;;kilogram;263;;;Taxa finns som rad. EDP-koppling saknas.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;6.1.2;Tryckimpregnerat virke, pall;;kilogram;;;;Skapa/hantera som ny taxa eller manuell granskning.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;6.1.2;Betong, lättbetong;;kilogram;;;;Skapa/hantera som ny taxa eller manuell granskning.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;6.1.2;Gips, gipsskivor;;kilogram;;;;Skapa/hantera som ny taxa eller manuell granskning.
REVIEW_REQUIRED;Taxepunkter;Rad finns men saknar Taxakod;0.750;6.1.2;Tegel;;kilogram;267;;;Taxa finns som rad. EDP-koppling saknas.
NEW_TAXA;Word;Word-taxa saknar EDP-match och standardförslag;0.000;6.1.2;Fönster- och planglas utan karm;;kilogram;;;;Skapa/hantera som ny taxa eller manuell granskning.
