Status;Source;Rule;Confidence;Paragraf;Taxapunkt;Variant;Enhet;Excel rad;EDP taxakod;Standard taxakod;Kommentar
REVIEW_REQUIRED;Taxepunkter;Bästa semantiska kandidat saknar taxekod;0.395;6.1.2;Rökdetektor med Am 241;;kilogram;;;;Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.34 justerad=0.40. Matchar category: ÅVC/verksamhetsavfall, unit_type: Vikt, factor_hint: VIKG. Skillnader waste_type: Word='' kandidat='Elavfall', service_type: Word='' kandidat='Abonnemang'
REVIEW_REQUIRED;Taxepunkter;Bästa semantiska kandidat saknar taxekod;0.335;6.1.2;Batterier stav, pencell;;kilogram;;;;Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.28 justerad=0.34. Matchar category: ÅVC/verksamhetsavfall, unit_type: Vikt, factor_hint: VIKG. Skillnader waste_type: Word='Batterier' kandidat='Elavfall', service_type: Word='' kandidat='Abonnemang'
REVIEW_REQUIRED;Taxepunkter;Bästa semantiska kandidat saknar taxekod;0.335;6.1.2;Batterier lithium;;kilogram;;;;Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.28 justerad=0.34. Matchar category: ÅVC/verksamhetsavfall, unit_type: Vikt, factor_hint: VIKG. Skillnader waste_type: Word='Batterier' kandidat='Elavfall', service_type: Word='' kandidat='Abonnemang'
NEW_TAXA;SemanticDecisionEngine;Ingen kandidat över granskningsgräns;0.305;6.1.2;Bil-, mcbatteri med bly;;styck;;;;Bästa kandidat var för svag. Kandidat=STANDARD KÄ140RE26V score=0.30 justerad=0.30. Matchar category: ÅVC/verksamhetsavfall. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Abonnemang', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='140'
REVIEW_REQUIRED;Taxepunkter;Bästa semantiska kandidat saknar taxekod;0.395;6.1.2;Glödlampor;;kilogram;;;;Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.34 justerad=0.40. Matchar category: ÅVC/verksamhetsavfall, unit_type: Vikt, factor_hint: VIKG. Skillnader waste_type: Word='' kandidat='Elavfall', service_type: Word='' kandidat='Abonnemang'
REVIEW_REQUIRED;Taxepunkter;Bästa semantiska kandidat saknar taxekod;0.395;6.1.2;Lysrör;;kilogram;;;;Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.34 justerad=0.40. Matchar category: ÅVC/verksamhetsavfall, unit_type: Vikt, factor_hint: VIKG. Skillnader waste_type: Word='' kandidat='Elavfall', service_type: Word='' kandidat='Abonnemang'
REVIEW_REQUIRED;Taxepunkter;Bästa semantiska kandidat saknar taxekod;0.575;6.1.2;Elavfall, små elektronik;;kilogram;;;;Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.53 justerad=0.57. Matchar category: ÅVC/verksamhetsavfall, waste_type: Elavfall, unit_type: Vikt, factor_hint: VIKG. Skillnader service_type: Word='' kandidat='Abonnemang'
REVIEW_REQUIRED;Taxepunkter;Bästa semantiska kandidat saknar taxekod;0.575;6.1.2;El-avfall fast installation;;kilogram;;;;Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.53 justerad=0.57. Matchar category: ÅVC/verksamhetsavfall, waste_type: Elavfall, unit_type: Vikt, factor_hint: VIKG. Skillnader service_type: Word='' kandidat='Abonnemang'
REVIEW_REQUIRED;Taxepunkter;Bästa semantiska kandidat saknar taxekod;0.575;6.1.2;El-avfall kabel;;kilogram;;;;Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.53 justerad=0.57. Matchar category: ÅVC/verksamhetsavfall, waste_type: Elavfall, unit_type: Vikt, factor_hint: VIKG. Skillnader service_type: Word='' kandidat='Abonnemang'
REVIEW_REQUIRED;Taxepunkter;Bästa semantiska kandidat saknar taxekod;0.395;6.1.2;Toner, färgpatron med elektronik;;kilogram;;;;Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.34 justerad=0.40. Matchar category: ÅVC/verksamhetsavfall, unit_type: Vikt, factor_hint: VIKG. Skillnader waste_type: Word='' kandidat='Elavfall', service_type: Word='' kandidat='Abonnemang'
