tax_code;attribute_key;attribute_count;materials;waste_types;units;container_types;intervals;property_types;source;source_text
;GIPS|TON|VERKSAMHET;3;GIPS;;TON;;;VERKSAMHET;RULE:Taxepunkter:266;Gips ÅVC/verksamhetsavfall Gips Vikt VIKG §6.1.2 | §6.1.2 | Gips |  | kr/ton |  |  |  |  |  |  | 
ÅBEHGF;GLAS;1;GLAS;;;;;;RULE:Taxa_från_edp:346;ÅVS behandling glasförpackningar, färgade Okänd KVAN ÅBEHGF | ÅVS behandling glasförpackningar, färgade | KVAN | ÅVS behandling glasförpackningar, färgade | VIKG
ÅBEHGF;GLAS;1;GLAS;;;;;;STANDARD:Standard ÅVS:12;ÅVS behandling glasförpackningar, färgade KVAN ANTL
ÅBEHGO;GLAS;1;GLAS;;;;;;RULE:Taxa_från_edp:347;ÅVS behandling glasförpackningar, ofärgade Okänd KVAN ÅBEHGO | ÅVS behandling glasförpackningar, ofärgade | KVAN | ÅVS behandling glasförpackningar, ofärgade | VIKG
ÅBEHGO;GLAS;1;GLAS;;;;;;STANDARD:Standard ÅVS:14;ÅVS behandling glasförpackningar, ofärgade KVAN ANTL
ÅBUDGF;GLAS;1;GLAS;;;;;;STANDARD:Standard ÅVS:25;ÅVS budad tömning glasförpackningar, färgade KVAN ANTL
ÅBUDGO;GLAS;1;GLAS;;;;;;STANDARD:Standard ÅVS:26;ÅVS budad tömning glasförpackningar, ofärgade KVAN ANTL
ÅTÖMGF;GLAS;1;GLAS;;;;;;RULE:Taxa_från_edp:355;ÅVS tömning, glasförpackningar, färgade Okänd KVAN ÅTÖMGF | ÅVS tömning, glasförpackningar, färgade | KVAN | ÅVS tömning, glasförpackningar, färgade | ANTB
ÅTÖMGF;GLAS;1;GLAS;;;;;;STANDARD:Standard ÅVS:11;ÅVS tömning glasförpackningar, färgade KVAN ANTL
ÅTÖMGO;GLAS;1;GLAS;;;;;;RULE:Taxa_från_edp:356;ÅVS tömning glasförpackningar, ofärgade Okänd KVAN ÅTÖMGO | ÅVS tömning glasförpackningar, ofärgade | KVAN | ÅVS tömning glasförpackningar, ofärgade | ANTB
ÅTÖMGO;GLAS;1;GLAS;;;;;;STANDARD:Standard ÅVS:13;ÅVS tömning glasförpackningar, ofärgade KVAN ANTL
ÅVSGF;GLAS;1;GLAS;;;;;;RULE:Taxa_från_edp:364;ÅVS, glasförpackningar, färgade, Tjänsttaxa Okänd ÅRKV ÅVSGF | ÅVS, glasförpackningar, färgade, Tjänsttaxa | ÅRKV | ÅVS, glasförpackningar, färgade, Tjänsttaxa | 0
ÅVSGF;GLAS;1;GLAS;;;;;;STANDARD:Standard ÅVS:3;ÅVS glasförpackningar, färgade. Tjänsttaxa ÅRKV ANTB
ÅVSGO;GLAS;1;GLAS;;;;;;RULE:Taxa_från_edp:365;ÅVS glasförpackningar, ofärgade. Tjänsttaxa Okänd ÅRKV ÅVSGO | ÅVS glasförpackningar, ofärgade. Tjänsttaxa | ÅRKV | ÅVS glasförpackningar, ofärgade. Tjänsttaxa | 0
ÅVSGO;GLAS;1;GLAS;;;;;;STANDARD:Standard ÅVS:4;ÅVS glasförpackningar, ofärgade. Tjänsttaxa ÅRKV ANTB
Miljövagn;GLAS,METALL,PLAST,PAPPER|TIDNING;5;GLAS,METALL,PLAST,PAPPER;TIDNING;;;;;RULE:Taxa_från_edp:335;Miljövagn, Papper plast tidning metall glasof glasf Okänd Metall ÅRKV Miljövagn | Miljövagn, Papper plast tidning metall glasof glasf | ÅRKV | Miljövagn | 0
