PersistentTaxID;SectionBoundWordTaxID;ContentFingerprint;IdentityBasis;Occurrence;Status;Word paragraf;Word taxapunkt;Word variant;Word enhet;Kommentar
PTX-D9B6A3476A90-01;WTX-6-1-2-FB0CD0FE-01;D9B6A3476A905EA5AB1CD6792B956BC78B9F5925;|färg-, lack-, limburkar vattenbaserade||kilogram;1;ACTIVE;6.1.2;Färg-,lack-, limburkar vattenbaserade;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-DD6405A413E4-01;WTX-6-1-2-A1B0BA6F-01;DD6405A413E4BAAAAA10E124F6837E1D0EF5F05E;|tensida alkaliska flytande avfall||kilogram;1;ACTIVE;6.1.2;Tensida alkaliska flytande avfall;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-F0EBBFDAB77D-01;WTX-6-1-2-016E8BC5-01;F0EBBFDAB77D844B9A91794079F130785738DC95;|rengöring/vaskmedel fast||kilogram;1;ACTIVE;6.1.2;Rengöring/vaskmedel fast;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-5946BC53830C-01;WTX-6-1-2-498A121A-01;5946BC53830C96FA0373A317F5A95811AFDCB161;|alkaliska flytande avfall||kilogram;1;ACTIVE;6.1.2;Alkaliska flytande avfall;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-F58EFEB1ED35-01;WTX-6-1-2-981A6629-01;F58EFEB1ED35D7CDCA04388D96E3092B52BC2529;|cytotoxiska läkemedel, cytostat||kilogram;1;ACTIVE;6.1.2;Cytotoxiska läkemedel, cytostat;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-E8AE65A6C997-01;WTX-6-1-2-7065AD31-01;E8AE65A6C9974F485552CF703EB7BF90594420C9;|rökdetektor med andra isotoper||kilogram;1;ACTIVE;6.1.2;Rökdetektor med andra isotoper;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-05FEFEC08B50-01;WTX-6-1-2-CF5A11C8-01;05FEFEC08B50D0C58D5CF9B5760B7F6B9309773A;|rökdetektor med am 241||kilogram;1;ACTIVE;6.1.2;Rökdetektor med Am 241;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-92718979A72E-01;WTX-6-1-2-1022904D-01;92718979A72E3790866DAEB9E2757D7599367BE2;|batterier stav, pencell||kilogram;1;ACTIVE;6.1.2;Batterier stav, pencell;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-3D0BBC4BE4F4-01;WTX-6-1-2-0BDFD948-01;3D0BBC4BE4F41FBEA14EDC0BD75CA42A4F4A56E4;|batterier lithium||kilogram;1;ACTIVE;6.1.2;Batterier lithium;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-F4462CBB41D3-01;WTX-6-1-2-C837FDC0-01;F4462CBB41D305F0606164BE8C7B3CBA3C236EF9;|bil-, mcbatteri med bly||styck;1;ACTIVE;6.1.2;Bil-, mcbatteri med bly;;styck;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-0C1A18B49B54-01;WTX-6-1-2-70FAE276-01;0C1A18B49B540820797222963B8E9D7112FB2EEA;|glödlampor||kilogram;1;ACTIVE;6.1.2;Glödlampor;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-140D3940EF22-01;WTX-6-1-2-6871D685-01;140D3940EF221D0EB778DFE5AB261CC227E7321B;|lysrör||kilogram;1;ACTIVE;6.1.2;Lysrör;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-76CB322CFDAB-01;WTX-6-1-2-9A7CEC7B-01;76CB322CFDAB804DDF9B08B521B33AF5700FE5A4;|elavfall, små elektronik||kilogram;1;ACTIVE;6.1.2;Elavfall, små elektronik;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-2A356C5DFB81-01;WTX-6-1-2-25432655-01;2A356C5DFB8122CAE4E727707B90B745FCCCEF9A;|el-avfall fast installation||kilogram;1;ACTIVE;6.1.2;El-avfall fast installation;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-284F940EC8AF-01;WTX-6-1-2-28723D4D-01;284F940EC8AF5C9258777682A35E1F6ECC4526C7;|el-avfall kabel||kilogram;1;ACTIVE;6.1.2;El-avfall kabel;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-9543E7D7909E-01;WTX-6-1-2-9D757B1C-01;9543E7D7909E5AFE3875567A3911990AC1A39298;|toner, färgpatron med elektronik||kilogram;1;ACTIVE;6.1.2;Toner, färgpatron med elektronik;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-7D3E34121906-01;WTX-6-1-2-038D4175-01;7D3E34121906A2825A084A2A3E40E3149C1D21EE;|tv, radio, skärm, skrivare utan färgpatron||kilogram;1;ACTIVE;6.1.2;Tv, radio, skärm, skrivare utan färgpatron;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-6DEECEF28DB0-01;WTX-6-1-2-7252BE74-01;6DEECEF28DB09D2C45E7A66B40B7D93CB906331A;|kyl-, frysskåp,-box||styck;1;ACTIVE;6.1.2;Kyl-, frysskåp, -box;;styck;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-19B73DD55A0F-01;WTX-6-1-2-C72A580E-01;19B73DD55A0FE835D56BEF2E6977AF9EE26B2AA4;|kyl-, frysskåp,-boxfrån verksamhet||kilogram;1;ACTIVE;6.1.2;Kyl-, frysskåp, -box från verksamhet;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-703849E7DB8C-01;WTX-6-1-2-4646C644-01;703849E7DB8C7DDEDB63D71FFC29C8967F482F3C;|spis, tvätt-, diskmaskin||styck;1;ACTIVE;6.1.2;Spis, tvätt-, diskmaskin;;styck;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-F2C617489312-01;WTX-6-1-2-3C8C5541-01;F2C6174893123701371C05A94E34302CCF8D4E33;|spis, tvätt-, diskmaskin från verksamhet||kilogram;1;ACTIVE;6.1.2;Spis, tvätt-, diskmaskin från verksamhet;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-D3A12BA5C378-01;WTX-6-1-3-7AFD09A4-01;D3A12BA5C37814DC6F85FB0DC5886CEC725C9A4D;|containerxm3||m³;1;ACTIVE;6.1.3;Container X m3;;m³;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf. Innehållsfingerprint D3A12BA5C378 förekommer 3 gånger i paragraf(er): 6.1.3. Detta är inte automatiskt fel.
PTX-D3A12BA5C378-02;WTX-6-1-3-7AFD09A4-02;D3A12BA5C37814DC6F85FB0DC5886CEC725C9A4D;|containerxm3||m³;2;ACTIVE;6.1.3;Container X m3;;m³;"Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf. Samma innehåll förekommer flera gånger; det är granskningsinformation, inte automatiskt fel. Innehållsfingerprint D3A12BA5C378 förekommer 3 gånger i paragraf(er): 6.1.3. Detta är inte automatiskt fel."
PTX-D3A12BA5C378-03;WTX-6-1-3-7AFD09A4-03;D3A12BA5C37814DC6F85FB0DC5886CEC725C9A4D;|containerxm3||m³;3;ACTIVE;6.1.3;Container X m3;;m³;"Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf. Samma innehåll förekommer flera gånger; det är granskningsinformation, inte automatiskt fel. Innehållsfingerprint D3A12BA5C378 förekommer 3 gånger i paragraf(er): 6.1.3. Detta är inte automatiskt fel."
PTX-30E14AACA4B1-01;WTX-6-1-3-EAFB51FF-01;30E14AACA4B1914FFD9D9BCE9EA6A81B48543850;|omklassning av felsorterad container||container;1;ACTIVE;6.1.3;Omklassning av felsorterad container;;container;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-65DB60F9B5E0-01;WTX-6-1-4-74EAAEDD-01;65DB60F9B5E0BF7AC89F7B0814FDF8FCD5E1CF47;|okänt farligt avfall (säkerhetsdatablad saknas)||fraktion;1;ACTIVE;6.1.4;Okänt farligt avfall (säkerhetsdatablad saknas);;fraktion;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-1E8FE158203D-01;WTX-6-1-4-2DB74442-01;1E8FE158203D06D1A4A8A6EDD46A1F5220BAC5AE;|ombud för rapportering av farligt avfall i avfallsregistret||tillfälle;1;ACTIVE;6.1.4;Ombud för rapportering av farligt avfall i Avfallsregistret;;tillfälle;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-C9590595073A-01;WTX-6-1-4-5C9D4FF2-01;C9590595073A94DA2066242382A83D845D7D9BB0;|administrativ rapporteringsavgift till avfallsregistret||tillfälle;1;ACTIVE;6.1.4;Administrativ rapporteringsavgift till Avfallsregistret;;tillfälle;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-C2BDBA4C78B3-01;WTX-6-1-4-1285A6BE-01;C2BDBA4C78B3E95D30A856FF70E11977871A3BE8;|ombud för registrering av el-kretsen avlämnarintyg i hämtplatsportalen||tillfälle;1;ACTIVE;6.1.4;Ombud för registrering av El-kretsen avlämnarintyg i Hämtplatsportalen;;tillfälle;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
