Word Tax Coverage Report

KRAV:
Alla taxor som hittas i Word måste finnas som egen rad i Taxepunkter.
Detta gäller oavsett om Taxa_från_edp är tom eller saknar matchning.

Total parser rows: 241
COVERED: 67
REVIEW: 23
MISSING: 151
Passed: False

Details:
- REVIEW | multiple section+tax_point rows | 2.5.1 | Farligt avfall (uppmärkt) | excel_row=161 tax_code= | 2 Taxepunkter rows share section+tax_point
- MISSING | no Taxepunkter row | 2.5.1 | Avisering av ankomst | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 3.1 | Upp till 3 m3 | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 3.1 | Mellan 3 m3 och 6 m3 | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 3.1 | Mellan 6 m3 och 9 m3 | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 3.1 | Tillägg per m3 över 9 m3 | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 3.1 | Bad-, disk- och tvättbrunn upp till 3 m3 | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 3.1 | Tillägg per m3 över 3 m3 | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 3.2 | Dragning av extra slang vid 5-25 m | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 3.2 | Dragning av extra slang vid 25-35 m | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 3.2 | Dragning av extra slang vid 36-45 m | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 3.2 | Dragning av extra slang vid 46-55 m | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 3.2 | Hantering av brunnslock som väger 15-25 kg | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 3.2 | Krav på information om tömningstid | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 3.2 | Krav på närvaro vid specificerad tömningstid | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 3.2 | Hantering av kod för kodlås vid slamtömning | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 3.2 | Hetvattentvätt med spolbil, timersättning | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 3.2 | Tömning av extra tank/brunn i samband med ordinarie/budad tömning upp till 5 m3 | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 3.3 | Budning inom ordinarie tömningsperiod (1 maj- 31 oktober) | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 3.3 | Budning utanför ordinarie tömningsperiod (1 nov – 30 april) | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 3.3 | Tömning av toalettvagnar eller liknande /styck | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 3.4 | Latrinbehållare 37 liter inkl. mottagning och behandling | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 4.1 | Filtermassor upp till 500 kg | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 4.1 | Filtermassor 500-1000 kg | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 4.2 | Krav på information om hämtningstid | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
