Taxepunkter Row Build Plan

KRAV:
Alla taxor som hittas i Word/parsern ska finnas som egen rad i Taxepunkter.
EDP-data kompletterar endast raden efteråt.

Parser rows: 241
REUSE: 78
CREATE: 136
REVIEW: 27
Coverage plan valid: True

Details:
- CREATE | word tax missing from Taxepunkter | 2.4.8 | Bottentömmande behållare | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- REUSE | section+tax_point | 2.4.9 | Sidlastande fordon | excel_row=157 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.4.9 | Bottentömmande fordon | excel_row=158 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- CREATE | word tax missing from Taxepunkter | 2.4.9 | Tömningsavgift per behållare | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- REUSE | section+tax_point | 2.4.10 | Betalsäck | excel_row=162 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- CREATE | word tax missing from Taxepunkter | 2.4.10 | Akutsäck | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 2.4.11 | Matavfallspåsar 9 L | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- REUSE | section+tax_point | 2.4.11 | Matavfallspåsar 22 L | excel_row=167 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.4.11 | Gravitationslås till kärl | excel_row=168 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.4.11 | Extra nyckel till gravitationslås | excel_row=169 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.5.1 | Kommunalt avfall | excel_row=172 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.5.1 | Farligt avfall (ej uppmärkt) | excel_row=173 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.5.1 | Farligt avfall (uppmärkt) | excel_row=174 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- CREATE | word tax missing from Taxepunkter | 2.5.1 | Avisering av ankomst | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 3.1 | Upp till 3 m3 | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- REUSE | section+tax_point | 3.1 | Mellan 3 m3 och 6 m3 | excel_row=179 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 3.1 | Mellan 6 m3 och 9 m3 | excel_row=180 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 3.1 | Tillägg per m3 över 9 m3 | excel_row=181 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 3.1 | Bad-, disk- och tvättbrunn upp till 3 m3 | excel_row=182 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- CREATE | word tax missing from Taxepunkter | 3.1 | Tillägg per m3 över 3 m3 | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 3.2 | Dragning av extra slang vid 5-25 m | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- REUSE | section+tax_point | 3.2 | Dragning av extra slang vid 25-35 m | excel_row=187 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 3.2 | Dragning av extra slang vid 36-45 m | excel_row=188 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- CREATE | word tax missing from Taxepunkter | 3.2 | Dragning av extra slang vid 46-55 m | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- REUSE | section+tax_point | 3.2 | Hantering av brunnslock som väger 15-25 kg | excel_row=190 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 3.2 | Krav på information om tömningstid | excel_row=191 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 3.2 | Krav på närvaro vid specificerad tömningstid | excel_row=192 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 3.2 | Hantering av kod för kodlås vid slamtömning | excel_row=193 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 3.2 | Hetvattentvätt med spolbil, timersättning | excel_row=194 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 3.2 | Tömning av extra tank/brunn i samband med ordinarie/budad tömning upp till 5 m3 | excel_row=196 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 3.3 | Budning inom ordinarie tömningsperiod (1 maj- 31 oktober) | excel_row=199 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REVIEW | multiple section+tax_point rows | 3.3 | Budning utanför ordinarie tömningsperiod (1 nov – 30 april) | excel_row=200 tax_code= | 2 befintliga rader delar paragraf+taxapunkt
