Word Excel Mapping Report

Syfte:
Skapar spårbar mappning mellan varje Word/parser-taxa och motsvarande rad i Taxepunkter.
Block50: varje rad får både sectionsbundet WordTaxID och sectionsoberoende StableTaxIdentity.

Regler:
- Word-master ändras aldrig.
- Excel-master ändras aldrig.
- Taxepunkter A:E ändras aldrig automatiskt.
- Taxa_från_edp ändras aldrig.
- Samma EDP-taxa kan användas av flera Word-rader utan att det automatiskt är fel.
- StableTaxIdentity används för att känna igen samma taxepunkt även om den flyttas mellan paragrafer.

Total Word rows: 241
MAPPED: 67
REVIEW: 23
MISSING: 151
Passed: False

Details:
- WTX-2-4-1-599292AB-01 | WTX-STABLE-AB55401ACC | MISSING | no Taxepunkter row | 2.4.1 | Fakturavgift | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter.
- WTX-2-4-2-012DC104-01 | WTX-STABLE-958BE02D63 | MISSING | no Taxepunkter row | 2.4.2 | Delat kärl 240 l matavfall 40 kg | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter.
- WTX-2-4-2-12FC6812-01 | WTX-STABLE-41DAB1BD24 | MISSING | no Taxepunkter row | 2.4.2 | Delat kärl 240 l restavfall 40 kg | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter.
- WTX-2-4-2-D180BF41-01 | WTX-STABLE-7F6C58E79C | MISSING | no Taxepunkter row | 2.4.2 | Extra kärl 140 l matavfall 60 kg | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter.
- WTX-2-4-2-0BF8ED71-01 | WTX-STABLE-4E6D8FAD24 | MISSING | no Taxepunkter row | 2.4.2 | Extra kärl 140-190 l restavfall 60 kg | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter.
- WTX-2-4-2-2C84BAC6-01 | WTX-STABLE-B769CFE726 | MISSING | no Taxepunkter row | 2.4.2 | Kärl 370 l restavfall 60 kg | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter.
- WTX-2-4-2-E01FAB41-01 | WTX-STABLE-8B2667C555 | MISSING | no Taxepunkter row | 2.4.2 | Kärl 660 l restavfall 100 kg | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter.
- WTX-2-4-3-893E17AD-01 | WTX-STABLE-804DDF05B8 | MAPPED | section+tax_point | 2.4.3 | Överfullt kärl | excel_row=121 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-4-3-AF92F6D3-01 | WTX-STABLE-6B63D5EED4 | MAPPED | section+tax_point | 2.4.3 | Överfull bottentömmande behållare | excel_row=122 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-4-4-D3BAF28D-01 | WTX-STABLE-A791A42B33 | MAPPED | section+tax_point | 2.4.4 | Byte av trasigt kärl vid oaktsamhet | excel_row=124 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-4-5-3FB6AD13-01 | WTX-STABLE-C9E817C267 | MISSING | no Taxepunkter row | 2.4.5 | Byte/återtag av kärl en (1) ggr/år 140–240 liter | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter.
