Kategori;Avfallstyp;Enhetstyp;Faktorhint;Behållarvolym liter;Word feature count;Standard row count;Exempel Word-taxor;Exempel standardtaxor
ÅVC/verksamhetsavfall;;Behållarvolym;VOLYM/BEHÅLLARE;;1;0;6.1.2 Ätbart fett/frityrolja;
ÅVC/verksamhetsavfall;;Behållarvolym;ÅRKV;140;0;10;;KÄ140OS156 Kärl 140 L, osort. avfall. 3ggr/ vecka | KÄ140OS104 Kärl 140 L, osort. avfall. 2ggr/ vecka | KÄ140OS52 Kärl 140 L, osort. avfall. Varje vecka | KÄ140OS26 Kärl 140 L, osort. avfall. Var 14:e dag | KÄ140OS13 Kärl 140 L, osort. avfall. Var 4:e vecka
ÅVC/verksamhetsavfall;;Behållarvolym;ÅRKV;160;0;9;;SÄ160OS156 Säck 160 L, osort. avfall. 3ggr/ vecka | SÄ160OS104 Säck 160 L, osort. avfall. 2ggr/ vecka | SÄ160OS52 Säck 160 L, osort. avfall. Varje vecka | SÄ160OS26 Säck 160 L, osort. avfall. Var 14:e dag | SÄ160OS13 Säck 160 L, osort. avfall. Var 4:e vecka
ÅVC/verksamhetsavfall;;Behållarvolym;ÅRKV;190;0;32;;KÄ190OS156 Kärl 190 L, osort. avfall. 3ggr/ vecka | KÄ190OS104 Kärl 190 L, osort. avfall. 2ggr/ vecka | KÄ190OS52 Kärl 190 L, osort. avfall. Varje vecka | KÄ190OS26 Kärl 190 L, osort. avfall. Var 14:e dag | KÄ190OS13 Kärl 190 L, osort. avfall. Var 4:e vecka
ÅVC/verksamhetsavfall;;Behållarvolym;ÅRKV;240;0;10;;KÄ240OS156 Kärl 240 L, osort. avfall. 3ggr/ vecka | KÄ240OS104 Kärl 240 L, osort. avfall. 2ggr/ vecka | KÄ240OS52 Kärl 240 L, osort. avfall. Varje vecka | KÄ240OS26 Kärl 240 L, osort. avfall. Var 14:e dag | KÄ240OS13 Kärl 240 L, osort. avfall. Var 4:e vecka
ÅVC/verksamhetsavfall;;Behållarvolym;ÅRKV;37;0;4;;KÄ37LA26 Kärl 37 L, latrin. Var 14:e dag | KÄ37LA12 Kärl 37 L, latrin. Var 4:e vecka | KÄ37LA11S Kärl 37 L, latrin. Var 14:e dag, säsong | KÄ37LA6S Kärl 37 L, latrin. Var 4:e vecka, säsong
ÅVC/verksamhetsavfall;;Behållarvolym;ÅRKV;370;0;38;;KÄ370OS156 Kärl 370 L, osort. avfall. 3ggr/ vecka | KÄ370OS104 Kärl 370 L, osort. avfall. 2ggr/ vecka | KÄ370OS52 Kärl 370 L, osort. avfall. Varje vecka | KÄ370OS26 Kärl 370 L, osort. avfall. Var 14:e dag | KÄ370OS13 Kärl 370 L, osort. avfall. Var 4:e vecka
ÅVC/verksamhetsavfall;;Behållarvolym;ÅRKV;400;0;3;;KK400OS104 Kärl komp. 400 L, osort. avfall. 2ggr/ vecka | KK400OS52 Kärl komp. 400 L, osort. avfall. Varje vecka | KK400OS26 Kärl komp. 400 L, osort. avfall. Var 14:e dag
ÅVC/verksamhetsavfall;;Behållarvolym;ÅRKV;660;0;30;;KÄ660OS156 Kärl 660 L, osort. avfall. 3ggr/ vecka | KÄ660OS104 Kärl 660 L, osort. avfall. 2ggr/ vecka | KÄ660OS52 Kärl 660 L, osort. avfall. Varje vecka | KÄ660OS26 Kärl 660 L, osort. avfall. Var 14:e dag | KÄ660OS13 Kärl 660 L, osort. avfall. Var 4:e vecka
ÅVC/verksamhetsavfall;;Styck;KVAN;;0;1;;FSÄMB Försäljning säck, markbehållare. Pris per st
