Parser 3.0 precision report

Matched: 0
Missing: 0
Extra: 274
Passed: False

EXTRA
- 2.1 | en- och tvåbostadshus |  |  | Extra parser row
- 3.3 | budning inom ordinarie tömningsperiod (1 maj- 31 oktober) |  |  | Extra parser row
- 3.3 | budning inom ordinarie tömningsperiod (1 maj- 31 oktober) |  |  | Extra parser row
- 3.3 | budning utanför ordinarie tömningsperiod (1 nov – 30 april) |  |  | Extra parser row
- 3.3 | budning utanför ordinarie tömningsperiod (1 nov – 30 april) |  |  | Extra parser row
- 3.3 | tömning av toalettvagnar eller liknande /styck |  | styck | Extra parser row
- 3.4 | latrinbehållare 37 liter inkl. mottagning och behandling |  | liter | Extra parser row
- 4.1 | filtermassor upp till 500 kg |  | kilogram | Extra parser row
- 4.1 | filtermassor upp till 500 kg |  | kilogram | Extra parser row
- 4.1 | filtermassor 500-1000 kg |  | kilogram | Extra parser row
- 4.1 | filtermassor 500-1000 kg |  | kilogram | Extra parser row
- 4.2 | krav på information om hämtningstid |  |  | Extra parser row
- 4.2 | krav på närvaro vid specificerad hämtningstid |  |  | Extra parser row
- 4.2 | hantering av kod för kodlås |  |  | Extra parser row
- 5.1 | upp till 3 m3 |  | m³ | Extra parser row
- 5.1 | upp till 3 m3 |  | m³ | Extra parser row
- 5.1 | mellan 3 m3 och 6 m3 |  | m³ | Extra parser row
- 5.1 | mellan 3 m3 och 6 m3 |  | m³ | Extra parser row
- 5.1 | över 6 m3 |  | m³ | Extra parser row
- 5.1 | över 6 m3 |  | m³ | Extra parser row
- 5.2 | dragning av extra slang vid 5-25 m |  |  | Extra parser row
- 5.2 | dragning av extra slang vid 25-35 m |  |  | Extra parser row
- 5.2 | dragning av extra slang vid 36-45 m |  |  | Extra parser row
- 5.2 | dragning av extra slang vid 46-55 m |  |  | Extra parser row
- 5.2 | hantering av brunnslock som väger 15-25 kg |  | kilogram | Extra parser row
- 5.2 | krav på information om tömningstid |  |  | Extra parser row
- 5.2 | krav på närvaro vid specificerad tömningstid |  |  | Extra parser row
- 5.2 | hantering av kod för kodlås vid tömning |  | tömning | Extra parser row
- 5.2 | hetvattentvätt med spolbil, timersättning |  |  | Extra parser row
- 5.2 | silikontätning per lock |  |  | Extra parser row
- 5.2 | tömning av extra tank i samband med ordinarie/budad tömning upp till 5 m3 |  | m³ | Extra parser row
- 5.3 | budning inom ordinarie tömningsperiod (1 maj- 31 oktober) |  |  | Extra parser row
- 5.3 | budning inom ordinarie tömningsperiod (1 maj- 31 oktober) |  |  | Extra parser row
- 5.3 | budning utanför ordinarie tömningsperiod |  |  | Extra parser row
- 5.3 | budning utanför ordinarie tömningsperiod |  |  | Extra parser row
- 6.1.1 | verksamheter |  |  | Extra parser row
- 6.1.1 | övriga abonnemangstyper |  |  | Extra parser row
- 6.1.1 | vågkort |  |  | Extra parser row
- 6.1.1 | borttappat vågkort |  |  | Extra parser row
- 6.1.1 | ej redovisad eller fel redovisad fraktion av avfall /fraktion |  | fraktion | Extra parser row
- 6.1.2 | tonerkassetter, utan elektronik/chip |  | kilogram | Extra parser row
- 6.1.2 | oljeemulsion, emballerat |  | kilogram | Extra parser row
- 6.1.2 | förorenad olja innehållande pcb |  | kilogram | Extra parser row
- 6.1.2 | oljeavskiljarslam |  | kilogram | Extra parser row
- 6.1.2 | diesel |  | kilogram | Extra parser row
- 6.1.2 | bensinrester |  | kilogram | Extra parser row
- 6.1.2 | hydralslang, med/utan koppling |  | kilogram | Extra parser row
- 6.1.2 | förpackningar, tömde ej rengjorda |  | kilogram | Extra parser row
- 6.1.2 | oljeavfall, fast osorterat emba |  | kilogram | Extra parser row
